County,trump,biden,other, total_votes,trump_biden_ratio,winner
ROBERTS,529,17,4,550,31.11764706,trump
BORDEN,397,16,3,416,24.8125,trump
KING,151,8,0,159,18.875,trump
GLASSCOCK,611,39,3,653,15.66666667,trump
LOVING,60,4,2,66,15,trump
ARMSTRONG,1035,75,2,1112,13.8,trump
MOTLEY,604,46,2,652,13.13043478,trump
WHEELER,2159,168,10,2337,12.85119048,trump
STERLING,584,51,4,639,11.45098039,trump
SHACKELFORD,1484,130,14,1628,11.41538462,trump
OLDHAM,917,81,11,1009,11.32098765,trump
HANSFORD,1849,166,32,2047,11.13855422,trump
JACK,3418,331,33,3782,10.32628399,trump
THROCKMORTON,806,82,6,894,9.829268293,trump
SHERMAN,886,91,15,992,9.736263736,trump
ARCHER,4300,446,50,4796,9.641255605,trump
HARTLEY,1868,195,15,2078,9.579487179,trump
CARSON,2779,297,46,3122,9.356902357,trump
OCHILTREE,2812,302,42,3156,9.311258278,trump
GAINES,5355,576,65,5996,9.296875,trump
LIPSCOMB,1205,131,17,1353,9.198473282,trump
COKE,1586,178,15,1779,8.91011236,trump
KENT,411,47,4,462,8.744680851,trump
MCMULLEN,460,53,3,516,8.679245283,trump
STEPHENS,3385,397,18,3800,8.526448363,trump
CLAY,5069,614,61,5744,8.255700326,trump
GRAY,6840,829,113,7782,8.250904704,trump
BRISCOE,639,78,8,725,8.192307692,trump
CALLAHAN,6012,734,86,6832,8.190735695,trump
MILLS,2217,271,17,2505,8.180811808,trump
BAYLOR,1494,183,25,1702,8.163934426,trump
COLEMAN,3641,451,32,4124,8.073170732,trump
SAN SABA,2308,287,7,2602,8.041811847,trump
HUTCHINSON,7681,965,127,8773,7.959585492,trump
MONTAGUE,8615,1097,107,9819,7.853236098,trump
EASTLAND,7237,983,73,8293,7.362156663,trump
DONLEY,1438,198,12,1648,7.262626263,trump
HEMPHILL,1486,206,28,1720,7.213592233,trump
SABINE,4784,669,38,5491,7.150971599,trump
DALLAM,1389,197,23,1609,7.050761421,trump
LEON,7523,1072,79,8674,7.017723881,trump
KIMBLE,1987,284,21,2292,6.996478873,trump
UPTON,1178,170,20,1368,6.929411765,trump
RUNNELS,3807,552,50,4409,6.89673913,trump
YOUNG,7110,1034,95,8239,6.876208897,trump
HARDIN,23858,3474,303,27635,6.867587795,trump
COLLINGSWORTH,1048,155,15,1218,6.761290323,trump
LAVACA,8804,1333,60,10197,6.604651163,trump
DICKENS,853,130,5,988,6.561538462,trump
BROWN,13698,2107,164,15969,6.501186521,trump
MARTIN,1857,288,15,2160,6.447916667,trump
VAN ZANDT,22270,3516,243,26029,6.333902162,trump
IRION,759,120,10,889,6.325,trump
CHILDRESS,1943,310,26,2279,6.267741935,trump
RAINS,5155,842,56,6053,6.122327791,trump
GARZA,1413,231,9,1653,6.116883117,trump
SCURRY,4983,818,69,5870,6.091687042,trump
COMANCHE,5177,853,56,6086,6.069167644,trump
MCCULLOCH,2904,490,42,3436,5.926530612,trump
HALL,995,168,6,1169,5.922619048,trump
TYLER,8194,1403,63,9660,5.840342124,trump
ANDREWS,4943,850,70,5863,5.815294118,trump
JONES,5660,999,82,6741,5.665665666,trump
HAMILTON,3616,641,94,4351,5.641185647,trump
HARDEMAN,1330,241,9,1580,5.518672199,trump
UPSHUR,15809,2877,206,18892,5.494960028,trump
REAGAN,942,172,10,1124,5.476744186,trump
MITCHELL,2170,397,12,2579,5.465994962,trump
WISE,27032,4973,360,32365,5.435753067,trump
WOOD,19049,3509,221,22779,5.42861214,trump
CONCHO,1058,197,13,1268,5.370558376,trump
DELTA,2162,403,27,2592,5.364764268,trump
SOMERVELL,4105,768,74,4947,5.345052083,trump
EDWARDS,893,168,5,1066,5.31547619,trump
STONEWALL,615,116,5,736,5.301724138,trump
HASKELL,1840,353,21,2214,5.212464589,trump
YOAKUM,2174,420,37,2631,5.176190476,trump
FRANKLIN,4161,804,44,5009,5.175373134,trump
CRANE,1247,241,15,1503,5.174273859,trump
REAL,1643,320,19,1982,5.134375,trump
LIVE OAK,4199,819,36,5054,5.126984127,trump
JACKSON,5231,1033,89,6353,5.063891578,trump
WINKLER,1753,358,15,2126,4.896648045,trump
COOKE,15596,3210,190,18996,4.858566978,trump
BOSQUE,7469,1561,96,9126,4.784753363,trump
COTTLE,540,113,9,662,4.778761062,trump
PARKER,62045,13017,1066,76128,4.766459246,trump
ERATH,13684,2916,256,16856,4.692729767,trump
HOOD,26496,5648,397,32541,4.69121813,trump
PALO PINTO,10179,2178,132,12489,4.673553719,trump
ORANGE,29186,6357,451,35994,4.591159352,trump
FANNIN,12171,2655,181,15007,4.584180791,trump
COCHRAN,809,177,14,1000,4.570621469,trump
PANOLA,9326,2057,68,11451,4.533787069,trump
FOARD,445,99,7,551,4.494949495,trump
SCHLEICHER,940,211,8,1159,4.454976303,trump
KNOX,1180,265,11,1456,4.452830189,trump
HOCKLEY,6536,1482,82,8100,4.41025641,trump
DEWITT,6567,1494,57,8118,4.395582329,trump
PARMER,2135,488,27,2650,4.375,trump
MASON,1991,457,26,2474,4.356673961,trump
SAN JACINTO,10161,2337,142,12640,4.3478819,trump
CHAMBERS,17353,3997,302,21652,4.34150613,trump
LYNN,1853,428,12,2293,4.329439252,trump
FREESTONE,6991,1635,85,8711,4.275840979,trump
JASPER,12542,2954,115,15611,4.24576845,trump
WARD,3241,764,55,4060,4.242146597,trump
TRINITY,5579,1323,36,6938,4.216931217,trump
LAMB,3521,840,49,4410,4.191666667,trump
MENARD,823,197,8,1028,4.177664975,trump
HOPKINS,12719,3046,176,15941,4.175640184,trump
HILL,11926,2860,145,14931,4.16993007,trump
NEWTON,4882,1173,39,6094,4.161977835,trump
FISHER,1448,352,26,1826,4.113636364,trump
MOORE,4359,1062,87,5508,4.104519774,trump
HENDERSON,28911,7060,346,36317,4.095042493,trump
LLANO,10079,2465,116,12660,4.088843813,trump
LIBERTY,23302,5785,247,29334,4.028003457,trump
BANDERA,10057,2505,153,12715,4.014770459,trump
RANDALL,50796,12802,1076,64674,3.967817529,trump
CASS,11033,2795,99,13927,3.947406082,trump
GILLESPIE,12514,3176,160,15850,3.940176322,trump
HOWARD,8054,2069,118,10241,3.892701788,trump
AUSTIN,11447,2951,156,14554,3.87902406,trump
SWISHER,1845,478,32,2355,3.859832636,trump
SHELBY,7975,2068,44,10087,3.856382979,trump
MADISON,4169,1088,41,5298,3.831801471,trump
FAYETTE,10171,2661,109,12941,3.822247275,trump
ANDERSON,15110,3955,162,19227,3.820480405,trump
SUTTON,1222,322,13,1557,3.795031056,trump
LAMPASAS,8086,2144,169,10399,3.771455224,trump
BURLESON,6743,1788,78,8609,3.771252796,trump
LAMAR,16760,4458,224,21442,3.759533423,trump
TERRY,2812,757,43,3612,3.714663144,trump
MIDLAND,45624,12329,906,58859,3.700543434,trump
WILBARGER,3524,956,44,4524,3.686192469,trump
DAWSON,2951,808,30,3789,3.652227723,trump
RED RIVER,4517,1246,43,5806,3.625200642,trump
FLOYD,1584,438,17,2039,3.616438356,trump
CHEROKEE,15101,4210,197,19508,3.586935867,trump
LEE,6255,1750,82,8087,3.574285714,trump
RUSK,16534,4629,214,21377,3.571829769,trump
NOLAN,4131,1162,64,5357,3.555077453,trump
CROCKETT,1220,344,10,1574,3.546511628,trump
GOLIAD,3085,877,33,3995,3.517673888,trump
BAILEY,1434,409,17,1860,3.506112469,trump
POLK,18573,5387,226,24186,3.44774457,trump
CASTRO,1602,466,15,2083,3.43776824,trump
KENDALL,20083,6020,349,26452,3.336046512,trump
GRIMES,9432,2833,149,12414,3.329332863,trump
BURNET,18767,5639,311,24717,3.328072353,trump
JOHNSON,54628,16464,928,72020,3.318027211,trump
HUNT,29163,8906,528,38597,3.274534022,trump
KARNES,3968,1234,50,5252,3.215559157,trump
KERR,20879,6524,342,27745,3.200337216,trump
MILAM,7984,2496,98,10578,3.198717949,trump
ARANSAS,9239,2916,135,12290,3.168381344,trump
HALE,7177,2279,130,9586,3.14918824,trump
COLORADO,7472,2420,83,9975,3.087603306,trump
SAN AUGUSTINE,3007,980,15,4002,3.068367347,trump
LIMESTONE,6789,2213,93,9095,3.067781292,trump
HOUSTON,7060,2314,64,9438,3.05099395,trump
GRAYSON,44163,14506,805,59474,3.04446436,trump
WASHINGTON,12959,4261,207,17427,3.041304858,trump
WILSON,18463,6350,200,25013,2.907559055,trump
GONZALES,5627,1948,73,7648,2.888603696,trump
ECTOR,32697,11367,527,44591,2.876484561,trump
BLANCO,5443,1911,87,7441,2.848246991,trump
TERRELL,334,119,5,458,2.806722689,trump
ANGELINA,25076,9143,355,34574,2.742644646,trump
HARRISON,21466,7908,343,29717,2.714466363,trump
TAYLOR,39547,14588,1000,55135,2.710926789,trump
NAVARRO,13800,5101,222,19123,2.705351892,trump
TITUS,7570,2856,115,10541,2.650560224,trump
CROSBY,1396,527,30,1953,2.648956357,trump
TOM GREEN,32313,12239,658,45210,2.64016668,trump
MATAGORDA,9845,3733,149,13727,2.637289044,trump
CALHOUN,5641,2148,67,7856,2.626163873,trump
DEAF SMITH,3294,1264,52,4610,2.606012658,trump
CAMP,3626,1394,40,5060,2.601147776,trump
MONTGOMERY,193382,74377,621,268380,2.600024201,trump
MARION,3470,1339,55,4864,2.591486184,trump
KINNEY,1144,446,13,1603,2.565022422,trump
WHARTON,11926,4694,141,16761,2.540690243,trump
COMAL,62740,24826,221,87787,2.527189237,trump
BOWIE,27116,10747,398,38261,2.523122732,trump
WICHITA,32069,13161,810,46040,2.436668946,trump
ROBERTSON,5646,2374,79,8099,2.378264532,trump
SMITH,69080,29615,269,98964,2.332601722,trump
PECOS,3215,1382,71,4668,2.32633864,trump
MORRIS,3872,1669,46,5587,2.319952067,trump
MEDINA,15642,6773,242,22657,2.309464048,trump
POTTER,22820,9921,596,33337,2.300171354,trump
VICTORIA,23358,10380,450,34188,2.250289017,trump
ROCKWALL,36726,16412,753,53891,2.237752864,trump
FALLS,4177,1899,57,6133,2.199578726,trump
GREGG,32493,14796,693,47982,2.196066504,trump
HUDSPETH,779,371,15,1165,2.099730458,trump
ELLIS,56717,27565,1211,85493,2.057573009,trump
ATASCOSA,12039,5876,203,18118,2.04884275,trump
KAUFMAN,37624,18405,689,56718,2.044227112,trump
CORYELL,15438,7565,490,23493,2.040713814,trump
REFUGIO,2210,1108,48,3366,1.994584838,trump
LUBBOCK,78861,40017,323,119201,1.970687458,trump
KENEDY,127,65,2,194,1.953846154,trump
WALKER,15375,7884,353,23612,1.950152207,trump
NACOGDOCHES,17378,9000,407,26785,1.930888889,trump
SAN PATRICIO,16516,8988,387,25891,1.837561193,trump
BEE,6006,3288,126,9420,1.826642336,trump
WALLER,14260,8191,283,22734,1.740935173,trump
GUADALUPE,47553,28805,239,76597,1.650859226,trump
MCLENNAN,59543,36688,345,96576,1.622955735,trump
REEVES,2254,1395,40,3689,1.615770609,trump
GALVESTON,93911,58842,395,153148,1.59598586,trump
JEFF DAVIS,784,501,20,1305,1.564870259,trump
UVALDE,6174,4073,97,10344,1.515835993,trump
BRAZORIA,90433,62228,464,153125,1.453252555,trump
BRAZOS,47530,35349,371,83250,1.344592492,trump
BASTROP,20516,15474,675,36665,1.325836888,trump
LASALLE,1335,1052,19,2406,1.269011407,trump
VAL VERDE,8284,6771,225,15280,1.223452961,trump
JIM WELLS,7453,6119,97,13669,1.218009479,trump
CALDWELL,8031,6672,270,14973,1.20368705,trump
BELL,67893,57014,489,125396,1.190812783,trump
DENTON,222480,188695,282,411457,1.17904555,trump
FRIO,2823,2422,34,5279,1.165565648,trump
ZAPATA,2033,1826,15,3874,1.113362541,trump
COLLIN,252318,230945,279,483542,1.092545844,trump
BREWSTER,2461,2258,103,4822,1.089902569,trump
NUECES,64617,60925,377,125919,1.060599097,trump
KLEBERG,5504,5314,126,10944,1.03575461,trump
JEFFERSON,47570,46073,1116,94759,1.032491915,trump
TARRANT,409741,411567,416,821724,0.995563298,biden
WILLIAMSON,139729,143795,1037,284561,0.971723634,biden
DUVAL,2443,2575,35,5053,0.948737864,biden
CULBERSON,415,438,11,864,0.947488584,biden
STARR,8247,9123,155,17525,0.903978954,biden
MAVERICK,6881,8332,133,15346,0.825852136,biden
FORT BEND,157718,195552,129,353399,0.806527164,biden
HAYS,47680,59524,457,107661,0.801021437,biden
WILLACY,2441,3108,0,5549,0.785392535,biden
CAMERON,49032,64063,1079,114174,0.765371587,biden
HARRIS,700630,918193,68,1618891,0.763053084,biden
HIDALGO,90527,128199,898,219624,0.706144354,biden
JIM HOGG,833,1197,6,2036,0.695906433,biden
BEXAR,308618,448452,258,757328,0.688185135,biden
BROOKS,998,1470,16,2484,0.678911565,biden
WEBB,25898,41820,679,68397,0.619273075,biden
DIMMIT,1384,2264,18,3666,0.61130742,biden
ZAVALA,1490,2864,25,4379,0.520251397,biden
DALLAS,307076,598576,562,906214,0.513010879,biden
PRESIDIO,721,1463,33,2217,0.492822967,biden
EL PASO,84331,178126,84,262541,0.473434535,biden
TRAVIS,161337,435860,389,597586,0.370157849,biden